reaction,FC,p,q,enrichment,changed
DESAT14_9,28.239317912313766,3.6681344761127276e-170,6.538723230182107e-170,1,1
DESAT16,52.91547375771691,9.080631963507678e-39,1.2612914488762042e-38,1,1
DESAT16_2,23.18620436291539,1.374604391933745e-86,2.193764282559055e-86,1,1
DESAT18,23.444278259827776,0.00967775474446886,0.009971951463107432,1,1
DESAT18_10,88.49133911799153,2.654008492884042e-301,5.611967679087207e-301,1,1
DESAT18_11,9.69266020930477,0.0,0.0,1,1
DESAT18_12,9.692660209304762,0.0,0.0,1,1
DESAT18_3,11.769843008972,2.6573756410355674e-90,4.283108644990612e-90,1,1
DESAT18_5,21.945045382548606,9.503852238345747e-32,1.2636562314568613e-31,1,1
DESAT18_6,14.675691480710631,0.0,0.0,1,1
DESAT18_8,65.70444350022916,9.710257857878779e-29,1.2710083916566403e-28,1,1
DESAT18_9,60.12192232615524,4.635561811121796e-187,8.428631603729062e-187,1,1
DESAT22_1p,12.016801115695548,0.26347172719864703,0.2669987918197802,0,0
DESAT22_2p,20.087347452453475,1.3878173223697225e-09,1.5587206424835014e-09,1,1
DESAT24_1,14.160549735833527,8.402229010639847e-22,1.0618509784731827e-21,1,1
DGNSK,7.183955609609209,7.969763456935227e-47,1.1484348230139532e-46,1,1
DHAPtm,220.98914477696272,2.3238432018190207e-83,3.693105606249822e-83,1,1
DHAPtr,-227.98325653700502,5.401579486784227e-98,8.787239981724197e-98,-1,1
DHCR241r,1.6853940081321885,1.469142113147104e-91,2.3763687599409353e-91,1,1
DHCR242r,167.12967289904753,0.0,0.0,1,1
DHCR71r,53.16020402579273,0.0,0.0,1,1
DHCR72r,67.30409871981331,0.0,0.0,1,1
DHCRD1,9.18603955415733,1.7492235820299696e-06,1.9043560665340657e-06,1,1
DHCRD2,8.20762890608385,7.613348817400856e-28,9.93102536721272e-28,1,1
DHFR,-726.9127739066414,4.036316194958692e-153,7.061998519839129e-153,-1,1
DHFR2i,166.11579759066356,0.0,0.0,1,1
DHFRim,47.64848210752356,0.0,0.0,1,1
DHFtm,-107.48268577848492,1.4009782290842566e-250,2.8205864878105905e-250,-1,1
DHPM1,410.5652564795895,0.0,0.0,1,1
DKMPPD,16.540674853418725,0.0,0.0,1,1
DLNLCGt,-6.576729456883928,0.0,0.0,-1,1
DMATT,13.441927799434877,6.754654990327923e-20,8.479724424010343e-20,1,1
DMATTx,7.358255796410273,1.583096794215111e-16,1.9072747053912557e-16,1,1
DM_15HPET_r,-1.0,0.0,0.0,-1,1
DM_4abut_c,94.77528741078422,1.425495606226295e-30,1.882151466127858e-30,1,1
DM_Asn_X_Ser_Thr_l,1.7087958793193507,1.2648578104450944e-222,2.491320110599141e-222,1,1
DM_C02712_c,411.8866529005974,9.592471397687556e-168,1.7005856787001122e-167,1,1
DM_Lcystin_c,390.88017034480083,0.0,0.0,1,1
DM_Ser_Gly_Ala_X_Gly_l,22.669914569153267,5.145848984405932e-64,7.770095108767202e-64,1,1
DM_Ser_Thr_l,-1.0,0.0,0.0,-1,1
DM_ca24g_c,-1.0,0.0,0.0,-1,1
DM_ca3s_c,215.80379345450305,1.4009782290842566e-250,2.8205864878105905e-250,1,1
DM_core5_g,-1.0,0.0,0.0,-1,1
DM_datp_m,247.12367041165496,0.0,0.0,1,1
DM_dca24g_c,-1.0,0.0,0.0,-1,1
DM_dca3s_c,135.75590935311294,0.0,0.0,1,1
DM_dopa_c,277.2961553225799,1.753886116071003e-13,2.0541904948928562e-13,1,1
DM_ethamp_r,-1.0,0.0,0.0,-1,1
DM_fol_c,539.7986735364898,0.0,0.0,1,1
DM_gca3s_c,28.080158350931512,4.312386962685144e-45,6.186627158722656e-45,1,1
DM_gcdca3s_c,27.975018619110248,0.0,0.0,1,1
DM_gdca3s_c,11.943915162522014,1.3433151993983066e-08,1.5005749226923533e-08,1,1
DM_gudca3s_c,59.983360304408635,1.374604391933745e-86,2.193764282559055e-86,1,1
DM_hista_c,275.7665421783843,3.178500719236986e-104,5.2155889692104007e-104,1,1
DM_kynate_c,59.5446096307756,0.0,0.0,1,1
DM_lca24g_c,-1.0,0.0,0.0,-1,1
