reaction,FC,p,q,enrichment,changed
CSEPASEly,10.281424446798072,1.4009782290842566e-250,2.857044073968073e-250,1,1
CSNAT2m,-21.088875046466914,0.0,0.0,-1,1
CSNATm,-527.6707261482109,0.0,0.0,-1,1
CSNATr,-222.96788128697574,0.0,0.0,-1,1
CSPG_Atly,9.539512135209144,7.847683261668956e-40,1.0528167667918025e-39,1,1
CSPG_Dtly,5.090967153046422,7.969763456935227e-47,1.0982488048747698e-46,1,1
CSPG_Etly,10.281424446798122,1.4009782290842566e-250,2.857044073968073e-250,1,1
CSm,82.02973206782346,0.0,0.0,1,1
CTPS1,-0.44261435392181936,1.690722046468961e-05,1.815636569431609e-05,0,0
CTPS2,-0.5817436204751854,1.71066707235859e-10,1.9470036205098764e-10,0,0
CYP2R1,-1.0,0.0,0.0,-1,1
CYSGLTH,-85.9386962860271,2.5872247709377997e-181,4.915942487327277e-181,-1,1
CYSGLUexR,-60.39267082397115,2.4519919833257585e-73,3.7055931827479344e-73,-1,1
CYSPHELAT2tc,-56.366873498919745,0.0,0.0,-1,1
CYSt4,493.3592698052559,1.1090105986229903e-175,2.0863661880112643e-175,1,1
CYTDK1,5.1466282474002325,8.493582764331036e-19,1.0201239930633382e-18,1,1
CYTDK2,5.696198363186406,1.382902816518576e-11,1.582640033748942e-11,1,1
Coqe,619.4152706699729,2.3238432018190207e-83,3.592825329641602e-83,1,1
DADNK,6.297867390026142,1.3746584738471068e-12,1.5891441931707688e-12,1,1
DAGt,-360.00447908992226,5.795101457747716e-58,8.354024969412691e-58,-1,1
DATPtm_cho,94.29705909074701,0.0,0.0,1,1
DCA24GSc,9.534231295627517,0.0,0.0,1,1
DCA24Gte,10.100417610945565,5.356249099254043e-22,6.536342483688623e-22,1,1
DCA3GSc,15.680594529009317,8.558957839743207e-54,1.2116341060976427e-53,1,1
DCA3Gte,15.680594529009296,8.558957839743207e-54,1.2116341060976427e-53,1,1
DCA3Sabc,4.84175797210516,1.482037203950835e-169,2.760823591359841e-169,1,1
DCA3St,32.60608776254469,5.921566070217685e-46,8.1403697423113e-46,1,1
DCIm,0.0,1.0,1.0,0,0
DCK1m,1.0,0.0,0.0,1,1
DCMPDA,-6.342138223789124,0.0,0.0,-1,1
DCMPtm,1.0,0.0,0.0,1,1
DCMPtr,-1.0,0.0,0.0,-1,1
DCSPTN1CPT1,12.990908567054452,0.0,0.0,1,1
DCSPTN1CPT2,12.990908567054598,0.0,0.0,1,1
DCSPTN1CRNt,12.99090856705443,0.0,0.0,1,1
DCYTD,6.342138223788996,0.0,0.0,1,1
DCYTt,1.0,0.0,0.0,1,1
DCYTtm,1.0,0.0,0.0,1,1
DEDOLP1_L,-0.29097517772370235,0.5005673707894058,0.5083643703344121,0,0
DEDOLP2_L,-0.29097517772370685,0.5005673707894058,0.5083643703344121,0,0
DEDOLR_L,-0.2909751777237045,0.5005673707894058,0.5083643703344121,0,0
DESAT14_9,58.17635398035752,0.0,0.0,1,1
DESAT16,18.2874236268598,8.66144540069212e-23,1.059807957339379e-22,1,1
DESAT16_2,59.11472337689451,2.8333430413611358e-109,4.566164421176633e-109,1,1
DESAT18,26.65929588059401,1.1412985810949231e-07,1.2600113023989428e-07,1,1
DESAT18_10,92.02608258871885,0.0,0.0,1,1
DESAT18_11,12.496407895257144,2.807532301000516e-60,4.0807571406899214e-60,1,1
DESAT18_12,12.496407895260445,2.807532301000516e-60,4.0807571406899214e-60,1,1
DESAT18_3,25.782924219729523,1.2184061416761676e-88,1.903082009106786e-88,1,1
DESAT18_5,132.99672711875104,0.0,0.0,1,1
DESAT18_6,15.502699274784577,2.378637707353e-312,5.234379217144e-312,1,1
